Job_role,Client,Source,Recruiter Name,Submission_date,Interview_date,Offer_date,Joining_date,Status,Salary,Location,Client
ASIC Design Engineer,Google,LinkedIn,Recruiter_A,29-02-2024 00:00,09-03-2024 00:00,13-03-2024 00:00,26-03-2024 00:00,Joined,74767,Illinois,Google
Mechanical Engineer,Amazon,Indeed,Recruiter_B,29-02-2024 00:00,10-03-2024 00:00,11-03-2024 00:00,30-03-2024 00:00,Interview,110374,New York,Amazon
Mechanical Engineer,Amazon,Indeed,Recruiter_C,29-02-2024 00:00,02-03-2024 00:00,05-03-2024 00:00,01-04-2024 00:00,Joined,83517,California,Amazon
Verification Engineer,Microsoft,Referral,Recruiter_B,29-02-2024 00:00,10-03-2024 00:00,12-03-2024 00:00,04-04-2024 00:00,Joined,102518,New York,Microsoft
ASIC Design Engineer,Google,LinkedIn,Recruiter_A,29-02-2024 00:00,03-03-2024 00:00,06-03-2024 00:00,04-04-2024 00:00,Joined,143486,Texas,Google
Verification Engineer,Amazon,Indeed,Imtyaz,29-02-2024 00:00,05-03-2024 00:00,15-03-2024 00:00,06-04-2024 00:00,Offered,117268,California,Amazon
Verification Engineer,Deloitte,Referral,Recruiter_C,29-02-2024 00:00,06-03-2024 00:00,16-03-2024 00:00,12-04-2024 00:00,Rejected,113728,New York,Deloitte
Verification Engineer,Accenture,LinkedIn,Recruiter_B,01-03-2024 00:00,11-03-2024 00:00,13-03-2024 00:00,19-03-2024 00:00,Rejected,67880,Washington,Accenture
Mechanical Engineer,Accenture,Indeed,Recruiter_C,01-03-2024 00:00,11-03-2024 00:00,15-03-2024 00:00,25-03-2024 00:00,Offered,84483,Texas,Accenture
ASIC Design Engineer,Google,Naukri,Recruiter_C,01-03-2024 00:00,10-03-2024 00:00,11-03-2024 00:00,26-03-2024 00:00,Joined,130153,Washington,Google
Verification Engineer,Amazon,Indeed,Recruiter_B,01-03-2024 00:00,04-03-2024 00:00,07-03-2024 00:00,26-03-2024 00:00,Joined,111033,Illinois,Amazon
ASIC Design Engineer,Google,Indeed,Recruiter_A,01-03-2024 00:00,02-03-2024 00:00,10-03-2024 00:00,27-03-2024 00:00,Joined,109845,Texas,Google
RTL Design Engineer,Deloitte,Indeed,Imtyaz,01-03-2024 00:00,06-03-2024 00:00,08-03-2024 00:00,01-04-2024 00:00,Rejected,65305,Texas,Deloitte
RTL Design Engineer,Microsoft,Naukri,Recruiter_D,01-03-2024 00:00,02-03-2024 00:00,06-03-2024 00:00,02-04-2024 00:00,Joined,83361,Washington,Microsoft
RTL Design Engineer,Microsoft,Naukri,Recruiter_B,04-03-2024 00:00,06-03-2024 00:00,09-03-2024 00:00,15-03-2024 00:00,Interview,142796,California,Microsoft
Verification Engineer,Amazon,Referral,Recruiter_A,04-03-2024 00:00,07-03-2024 00:00,15-03-2024 00:00,21-03-2024 00:00,Offered,84884,Washington,Amazon
Verification Engineer,Microsoft,LinkedIn,Recruiter_B,04-03-2024 00:00,09-03-2024 00:00,19-03-2024 00:00,26-03-2024 00:00,Rejected,147643,California,Microsoft
Verification Engineer,Amazon,LinkedIn,Recruiter_B,04-03-2024 00:00,06-03-2024 00:00,09-03-2024 00:00,26-03-2024 00:00,Joined,94764,California,Amazon
RTL Design Engineer,Google,Career Site,Recruiter_C,04-03-2024 00:00,07-03-2024 00:00,08-03-2024 00:00,03-04-2024 00:00,Offered,90720,California,Google
ASIC Design Engineer,Microsoft,LinkedIn,Recruiter_D,04-03-2024 00:00,10-03-2024 00:00,17-03-2024 00:00,06-04-2024 00:00,Offered,92040,California,Microsoft
ASIC Design Engineer,Google,Naukri,Recruiter_A,04-03-2024 00:00,14-03-2024 00:00,22-03-2024 00:00,09-04-2024 00:00,Rejected,116730,California,Google
Technical Project Manager,Google,Referral,Recruiter_A,05-03-2024 00:00,07-03-2024 00:00,16-03-2024 00:00,26-03-2024 00:00,Offered,133933,Illinois,Google
Technical Project Manager,Microsoft,LinkedIn,Imtyaz,05-03-2024 00:00,12-03-2024 00:00,15-03-2024 00:00,28-03-2024 00:00,Rejected,64276,Washington,Microsoft
Technical Project Manager,Microsoft,LinkedIn,Recruiter_B,05-03-2024 00:00,10-03-2024 00:00,18-03-2024 00:00,05-04-2024 00:00,Joined,110532,New York,Microsoft
Technical Project Manager,Deloitte,Naukri,Recruiter_C,05-03-2024 00:00,12-03-2024 00:00,21-03-2024 00:00,13-04-2024 00:00,Rejected,61406,New York,Deloitte
Technical Project Manager,Google,Naukri,Recruiter_D,05-03-2024 00:00,10-03-2024 00:00,16-03-2024 00:00,14-04-2024 00:00,Joined,94253,Texas,Google
Mechanical Engineer,Amazon,LinkedIn,Imtyaz,06-03-2024 00:00,10-03-2024 00:00,15-03-2024 00:00,20-03-2024 00:00,Rejected,131637,Washington,Amazon
ASIC Design Engineer,Microsoft,Naukri,Imtyaz,06-03-2024 00:00,11-03-2024 00:00,12-03-2024 00:00,24-03-2024 00:00,Offered,92884,Texas,Microsoft
RTL Design Engineer,Google,Naukri,Imtyaz,06-03-2024 00:00,12-03-2024 00:00,13-03-2024 00:00,01-04-2024 00:00,Interview,137803,Illinois,Google
RTL Design Engineer,Microsoft,Referral,Recruiter_C,06-03-2024 00:00,11-03-2024 00:00,21-03-2024 00:00,01-04-2024 00:00,Interview,133535,Texas,Microsoft
Mechanical Engineer,Accenture,LinkedIn,Recruiter_B,06-03-2024 00:00,15-03-2024 00:00,25-03-2024 00:00,03-04-2024 00:00,Joined,87486,Texas,Accenture
Verification Engineer,Microsoft,Career Site,Imtyaz,06-03-2024 00:00,13-03-2024 00:00,19-03-2024 00:00,05-04-2024 00:00,Interview,136647,California,Microsoft
ASIC Design Engineer,Microsoft,Naukri,Recruiter_A,06-03-2024 00:00,16-03-2024 00:00,24-03-2024 00:00,12-04-2024 00:00,Joined,120498,California,Microsoft
RTL Design Engineer,Deloitte,Naukri,Recruiter_B,06-03-2024 00:00,13-03-2024 00:00,16-03-2024 00:00,13-04-2024 00:00,Rejected,124838,Washington,Deloitte
Mechanical Engineer,Accenture,Naukri,Recruiter_D,06-03-2024 00:00,15-03-2024 00:00,24-03-2024 00:00,19-04-2024 00:00,Interview,118549,New York,Accenture
Verification Engineer,Microsoft,LinkedIn,Recruiter_B,06-03-2024 00:00,15-03-2024 00:00,24-03-2024 00:00,20-04-2024 00:00,Interview,83774,New York,Microsoft
RTL Design Engineer,Deloitte,Career Site,Recruiter_D,07-03-2024 00:00,10-03-2024 00:00,14-03-2024 00:00,26-03-2024 00:00,Offered,116666,New York,Deloitte
ASIC Design Engineer,Amazon,Referral,Imtyaz,07-03-2024 00:00,11-03-2024 00:00,12-03-2024 00:00,27-03-2024 00:00,Joined,99530,California,Amazon
Technical Project Manager,Microsoft,Indeed,Recruiter_D,07-03-2024 00:00,17-03-2024 00:00,19-03-2024 00:00,02-04-2024 00:00,Joined,125518,New York,Microsoft
Verification Engineer,Amazon,Career Site,Recruiter_D,07-03-2024 00:00,10-03-2024 00:00,14-03-2024 00:00,03-04-2024 00:00,Offered,79256,California,Amazon
Technical Project Manager,Amazon,LinkedIn,Recruiter_A,07-03-2024 00:00,09-03-2024 00:00,16-03-2024 00:00,10-04-2024 00:00,Joined,91458,Illinois,Amazon
RTL Design Engineer,Deloitte,Career Site,Imtyaz,07-03-2024 00:00,16-03-2024 00:00,22-03-2024 00:00,19-04-2024 00:00,Offered,103245,Texas,Deloitte
ASIC Design Engineer,Microsoft,Naukri,Recruiter_D,08-03-2024 00:00,18-03-2024 00:00,28-03-2024 00:00,03-04-2024 00:00,Joined,101068,New York,Microsoft
Verification Engineer,Accenture,Referral,Recruiter_C,08-03-2024 00:00,15-03-2024 00:00,24-03-2024 00:00,04-04-2024 00:00,interview,121761,Illinois,Accenture
Verification Engineer,Amazon,Naukri,Recruiter_B,08-03-2024 00:00,13-03-2024 00:00,15-03-2024 00:00,04-04-2024 00:00,Interview,130217,Washington,Amazon
ASIC Design Engineer,Google,Career Site,Recruiter_D,08-03-2024 00:00,18-03-2024 00:00,26-03-2024 00:00,20-04-2024 00:00,Offered,91202,Illinois,Google
RTL Design Engineer,Deloitte,LinkedIn,Recruiter_B,11-03-2024 00:00,16-03-2024 00:00,19-03-2024 00:00,24-03-2024 00:00,Rejected,108309,Washington,Deloitte
RTL Design Engineer,Deloitte,Naukri,Recruiter_C,11-03-2024 00:00,19-03-2024 00:00,23-03-2024 00:00,30-03-2024 00:00,Joined,74192,Illinois,Deloitte
RTL Design Engineer,Amazon,Naukri,Recruiter_A,11-03-2024 00:00,19-03-2024 00:00,22-03-2024 00:00,31-03-2024 00:00,Offered,74892,New York,Amazon
RTL Design Engineer,Accenture,Referral,Imtyaz,11-03-2024 00:00,14-03-2024 00:00,16-03-2024 00:00,03-04-2024 00:00,Joined,137069,Texas,Accenture
RTL Design Engineer,Microsoft,LinkedIn,Recruiter_A,11-03-2024 00:00,17-03-2024 00:00,19-03-2024 00:00,05-04-2024 00:00,Offered,100115,California,Microsoft
Mechanical Engineer,Google,Referral,Recruiter_C,11-03-2024 00:00,20-03-2024 00:00,24-03-2024 00:00,14-04-2024 00:00,Offered,64008,California,Google
Mechanical Engineer,Deloitte,Referral,Recruiter_C,11-03-2024 00:00,18-03-2024 00:00,19-03-2024 00:00,15-04-2024 00:00,Joined,90094,California,Deloitte
Technical Project Manager,Google,Career Site,Recruiter_B,11-03-2024 00:00,14-03-2024 00:00,24-03-2024 00:00,15-04-2024 00:00,Rejected,116844,Illinois,Google
Technical Project Manager,Google,Naukri,Recruiter_A,11-03-2024 00:00,15-03-2024 00:00,25-03-2024 00:00,20-04-2024 00:00,Joined,62928,Texas,Google
RTL Design Engineer,Google,Indeed,Recruiter_C,12-03-2024 00:00,13-03-2024 00:00,14-03-2024 00:00,30-03-2024 00:00,Joined,136579,California,Google
Verification Engineer,Amazon,LinkedIn,Recruiter_B,12-03-2024 00:00,22-03-2024 00:00,30-03-2024 00:00,04-04-2024 00:00,Rejected,74128,California,Amazon
ASIC Design Engineer,Google,Referral,Imtyaz,12-03-2024 00:00,19-03-2024 00:00,24-03-2024 00:00,09-04-2024 00:00,Rejected,93715,Illinois,Google
ASIC Design Engineer,Microsoft,Indeed,Imtyaz,13-03-2024 00:00,15-03-2024 00:00,17-03-2024 00:00,02-04-2024 00:00,Joined,81122,Illinois,Microsoft
RTL Design Engineer,Microsoft,Naukri,Recruiter_A,13-03-2024 00:00,14-03-2024 00:00,21-03-2024 00:00,04-04-2024 00:00,Rejected,144965,Texas,Microsoft
RTL Design Engineer,Deloitte,Indeed,Recruiter_B,13-03-2024 00:00,18-03-2024 00:00,28-03-2024 00:00,11-04-2024 00:00,Rejected,93851,California,Deloitte
RTL Design Engineer,Microsoft,Career Site,Recruiter_D,13-03-2024 00:00,20-03-2024 00:00,24-03-2024 00:00,12-04-2024 00:00,Interview,137834,Texas,Microsoft
Verification Engineer,Amazon,Indeed,Recruiter_A,14-03-2024 00:00,18-03-2024 00:00,19-03-2024 00:00,31-03-2024 00:00,Interview,95344,Texas,Amazon
Technical Project Manager,Deloitte,LinkedIn,Recruiter_B,14-03-2024 00:00,18-03-2024 00:00,24-03-2024 00:00,05-04-2024 00:00,Rejected,94615,Illinois,Deloitte
Verification Engineer,Microsoft,Career Site,Imtyaz,14-03-2024 00:00,24-03-2024 00:00,25-03-2024 00:00,12-04-2024 00:00,Interview,102885,California,Microsoft
Verification Engineer,Microsoft,Naukri,Recruiter_A,14-03-2024 00:00,21-03-2024 00:00,31-03-2024 00:00,15-04-2024 00:00,Offered,76311,Illinois,Microsoft
Verification Engineer,Google,Career Site,Recruiter_C,14-03-2024 00:00,17-03-2024 00:00,27-03-2024 00:00,15-04-2024 00:00,Offered,148472,Illinois,Google
Technical Project Manager,Google,LinkedIn,Recruiter_D,15-03-2024 00:00,17-03-2024 00:00,18-03-2024 00:00,25-03-2024 00:00,Interview,121011,California,Google
RTL Design Engineer,Amazon,Referral,Imtyaz,15-03-2024 00:00,19-03-2024 00:00,28-03-2024 00:00,06-04-2024 00:00,Interview,65626,New York,Amazon
Verification Engineer,Microsoft,LinkedIn,Recruiter_D,15-03-2024 00:00,25-03-2024 00:00,26-03-2024 00:00,08-04-2024 00:00,Joined,77680,Illinois,Microsoft
Mechanical Engineer,Amazon,Indeed,Recruiter_D,15-03-2024 00:00,24-03-2024 00:00,30-03-2024 00:00,10-04-2024 00:00,Interview,149458,Texas,Amazon
Technical Project Manager,Accenture,Indeed,Recruiter_D,15-03-2024 00:00,20-03-2024 00:00,23-03-2024 00:00,18-04-2024 00:00,joined,94164,New York,Accenture
Verification Engineer,Deloitte,Naukri,Recruiter_B,15-03-2024 00:00,25-03-2024 00:00,01-04-2024 00:00,23-04-2024 00:00,Offered,126931,New York,Deloitte
RTL Design Engineer,Amazon,Naukri,Recruiter_D,15-03-2024 00:00,24-03-2024 00:00,27-03-2024 00:00,24-04-2024 00:00,Offered,76553,California,Amazon
Verification Engineer,Deloitte,Career Site,Recruiter_C,18-03-2024 00:00,20-03-2024 00:00,21-03-2024 00:00,29-03-2024 00:00,Interview,76530,Illinois,Deloitte
Technical Project Manager,Google,Naukri,Recruiter_C,18-03-2024 00:00,21-03-2024 00:00,25-03-2024 00:00,03-04-2024 00:00,Offered,96092,Texas,Google
RTL Design Engineer,Google,LinkedIn,Recruiter_A,18-03-2024 00:00,28-03-2024 00:00,06-04-2024 00:00,13-04-2024 00:00,Interview,123469,California,Google
Technical Project Manager,Amazon,Career Site,Recruiter_A,18-03-2024 00:00,27-03-2024 00:00,04-04-2024 00:00,16-04-2024 00:00,Interview,142435,Texas,Amazon
ASIC Design Engineer,Microsoft,Referral,Recruiter_A,18-03-2024 00:00,24-03-2024 00:00,03-04-2024 00:00,18-04-2024 00:00,Offered,72051,Illinois,Microsoft
ASIC Design Engineer,Amazon,LinkedIn,Recruiter_B,18-03-2024 00:00,26-03-2024 00:00,29-03-2024 00:00,21-04-2024 00:00,Offered,136639,California,Amazon
Technical Project Manager,Google,LinkedIn,Recruiter_B,18-03-2024 00:00,27-03-2024 00:00,31-03-2024 00:00,25-04-2024 00:00,Joined,124538,New York,Google
ASIC Design Engineer,Accenture,Referral,Recruiter_C,18-03-2024 00:00,25-03-2024 00:00,04-04-2024 00:00,25-04-2024 00:00,Offered,79051,New York,Accenture
Technical Project Manager,Amazon,LinkedIn,Recruiter_D,19-03-2024 00:00,24-03-2024 00:00,26-03-2024 00:00,06-04-2024 00:00,Joined,76549,New York,Amazon
RTL Design Engineer,Google,Career Site,Recruiter_D,19-03-2024 00:00,22-03-2024 00:00,26-03-2024 00:00,08-04-2024 00:00,Joined,61908,Illinois,Google
RTL Design Engineer,Microsoft,Career Site,Imtyaz,19-03-2024 00:00,24-03-2024 00:00,27-03-2024 00:00,15-04-2024 00:00,Joined,96310,New York,Microsoft
RTL Design Engineer,Microsoft,Naukri,Recruiter_C,19-03-2024 00:00,23-03-2024 00:00,29-03-2024 00:00,17-04-2024 00:00,Offered,91101,Illinois,Microsoft
ASIC Design Engineer,Deloitte,LinkedIn,Recruiter_B,19-03-2024 00:00,23-03-2024 00:00,29-03-2024 00:00,19-04-2024 00:00,Joined,94390,Texas,Deloitte
Mechanical Engineer,Accenture,Referral,Recruiter_A,19-03-2024 00:00,29-03-2024 00:00,05-04-2024 00:00,21-04-2024 00:00,Rejected,65221,Washington,Accenture
Technical Project Manager,Accenture,Naukri,Recruiter_D,19-03-2024 00:00,26-03-2024 00:00,27-03-2024 00:00,21-04-2024 00:00,Interview,107354,New York,Accenture
ASIC Design Engineer,Google,Indeed,Recruiter_A,19-03-2024 00:00,21-03-2024 00:00,30-03-2024 00:00,21-04-2024 00:00,Interview,66724,Washington,Google
RTL Design Engineer,Deloitte,Career Site,Recruiter_D,19-03-2024 00:00,28-03-2024 00:00,04-04-2024 00:00,24-04-2024 00:00,Offered,120409,Illinois,Deloitte
Technical Project Manager,Deloitte,LinkedIn,Recruiter_B,19-03-2024 00:00,28-03-2024 00:00,30-03-2024 00:00,29-04-2024 00:00,Interview,71719,Illinois,Deloitte
Technical Project Manager,Deloitte,Career Site,Recruiter_C,20-03-2024 00:00,27-03-2024 00:00,28-03-2024 00:00,03-04-2024 00:00,Rejected,60346,California,Deloitte
Verification Engineer,Deloitte,LinkedIn,Recruiter_A,20-03-2024 00:00,29-03-2024 00:00,02-04-2024 00:00,11-04-2024 00:00,Offered,93854,New York,Deloitte
Mechanical Engineer,Amazon,Career Site,Recruiter_A,20-03-2024 00:00,30-03-2024 00:00,03-04-2024 00:00,17-04-2024 00:00,rejected,73601,Illinois,Amazon
RTL Design Engineer,Accenture,Referral,Recruiter_B,20-03-2024 00:00,29-03-2024 00:00,01-04-2024 00:00,17-04-2024 00:00,Joined,145956,Texas,Accenture
Mechanical Engineer,Amazon,Naukri,Recruiter_A,20-03-2024 00:00,22-03-2024 00:00,29-03-2024 00:00,18-04-2024 00:00,Rejected,5,Washington,Amazon
RTL Design Engineer,Google,Indeed,Recruiter_B,20-03-2024 00:00,24-03-2024 00:00,30-03-2024 00:00,19-04-2024 00:00,Interview,137792,Texas,Google
ASIC Design Engineer,Accenture,Naukri,Imtyaz,20-03-2024 00:00,29-03-2024 00:00,07-04-2024 00:00,21-04-2024 00:00,Rejected,76093,Texas,Accenture
Mechanical Engineer,Microsoft,Career Site,Recruiter_D,20-03-2024 00:00,28-03-2024 00:00,01-04-2024 00:00,25-04-2024 00:00,Rejected,68041,New York,Microsoft
Verification Engineer,Google,Referral,Imtyaz,20-03-2024 00:00,26-03-2024 00:00,04-04-2024 00:00,26-04-2024 00:00,Rejected,83962,California,Google
Mechanical Engineer,Google,Career Site,Imtyaz,20-03-2024 00:00,30-03-2024 00:00,04-04-2024 00:00,27-04-2024 00:00,Offered,78563,Texas,Google
Technical Project Manager,Microsoft,LinkedIn,Recruiter_A,20-03-2024 00:00,27-03-2024 00:00,03-04-2024 00:00,27-04-2024 00:00,Rejected,109648,Texas,Microsoft
Verification Engineer,Microsoft,Referral,Recruiter_A,20-03-2024 00:00,23-03-2024 00:00,01-04-2024 00:00,27-04-2024 00:00,Rejected,96426,Texas,Microsoft
Technical Project Manager,Amazon,Career Site,Recruiter_C,21-03-2024 00:00,29-03-2024 00:00,31-03-2024 00:00,09-04-2024 00:00,Interview,96354,Texas,Amazon
Verification Engineer,Deloitte,Naukri,Recruiter_C,21-03-2024 00:00,26-03-2024 00:00,31-03-2024 00:00,11-04-2024 00:00,Joined,130636,New York,Deloitte
RTL Design Engineer,Amazon,Naukri,Recruiter_C,21-03-2024 00:00,22-03-2024 00:00,31-03-2024 00:00,11-04-2024 00:00,Joined,120796,Illinois,Amazon
Verification Engineer,Deloitte,Career Site,Recruiter_C,21-03-2024 00:00,28-03-2024 00:00,31-03-2024 00:00,13-04-2024 00:00,Offered,85196,California,Deloitte
Mechanical Engineer,Deloitte,Referral,Imtyaz,21-03-2024 00:00,26-03-2024 00:00,29-03-2024 00:00,13-04-2024 00:00,Interview,146904,Washington,Deloitte
RTL Design Engineer,Microsoft,Indeed,Recruiter_C,21-03-2024 00:00,27-03-2024 00:00,01-04-2024 00:00,14-04-2024 00:00,Rejected,89755,New York,Microsoft
ASIC Design Engineer,Amazon,Indeed,Imtyaz,21-03-2024 00:00,23-03-2024 00:00,02-04-2024 00:00,14-04-2024 00:00,Offered,140426,Washington,Amazon
Mechanical Engineer,Microsoft,Indeed,Recruiter_B,21-03-2024 00:00,22-03-2024 00:00,26-03-2024 00:00,14-04-2024 00:00,Interview,71142,New York,Microsoft
Verification Engineer,Google,Career Site,Recruiter_B,21-03-2024 00:00,23-03-2024 00:00,31-03-2024 00:00,15-04-2024 00:00,Rejected,97604,California,Google
Technical Project Manager,Amazon,Indeed,Recruiter_C,21-03-2024 00:00,30-03-2024 00:00,02-04-2024 00:00,17-04-2024 00:00,Offered,149220,California,Amazon
Verification Engineer,Deloitte,Naukri,Imtyaz,21-03-2024 00:00,28-03-2024 00:00,06-04-2024 00:00,19-04-2024 00:00,Interview,115485,California,Deloitte
Mechanical Engineer,Google,Indeed,Recruiter_A,21-03-2024 00:00,22-03-2024 00:00,28-03-2024 00:00,24-04-2024 00:00,Interview,120970,Texas,Google
ASIC Design Engineer,Microsoft,Naukri,Imtyaz,22-03-2024 00:00,23-03-2024 00:00,26-03-2024 00:00,08-04-2024 00:00,Joined,132385,Washington,Microsoft
ASIC Design Engineer,Amazon,Naukri,Recruiter_D,22-03-2024 00:00,23-03-2024 00:00,31-03-2024 00:00,08-04-2024 00:00,Offered,74204,California,Amazon
Mechanical Engineer,Deloitte,Career Site,Recruiter_C,22-03-2024 00:00,28-03-2024 00:00,31-03-2024 00:00,09-04-2024 00:00,Offered,74068,New York,Deloitte
ASIC Design Engineer,Amazon,LinkedIn,Imtyaz,22-03-2024 00:00,29-03-2024 00:00,03-04-2024 00:00,20-04-2024 00:00,Joined,148661,Texas,Amazon
Technical Project Manager,Microsoft,Naukri,Imtyaz,22-03-2024 00:00,25-03-2024 00:00,27-03-2024 00:00,21-04-2024 00:00,Interview,117210,Washington,Microsoft
Mechanical Engineer,Amazon,Career Site,Imtyaz,22-03-2024 00:00,31-03-2024 00:00,09-04-2024 00:00,23-04-2024 00:00,Interview,60403,California,Amazon
ASIC Design Engineer,Microsoft,Indeed,Recruiter_C,22-03-2024 00:00,27-03-2024 00:00,02-04-2024 00:00,25-04-2024 00:00,Offered,89763,Washington,Microsoft
Technical Project Manager,Amazon,LinkedIn,Recruiter_D,22-03-2024 00:00,26-03-2024 00:00,04-04-2024 00:00,27-04-2024 00:00,Offered,100982,Illinois,Amazon
RTL Design Engineer,Amazon,Indeed,Recruiter_D,22-03-2024 00:00,01-04-2024 00:00,09-04-2024 00:00,29-04-2024 00:00,Rejected,130396,New York,Amazon
Verification Engineer,Deloitte,LinkedIn,Recruiter_B,25-03-2024 00:00,27-03-2024 00:00,29-03-2024 00:00,20-04-2024 00:00,Rejected,128642,Washington,Deloitte
ASIC Design Engineer,Accenture,LinkedIn,Imtyaz,25-03-2024 00:00,27-03-2024 00:00,05-04-2024 00:00,20-04-2024 00:00,Interview,89009,Texas,Accenture
Technical Project Manager,Amazon,Naukri,Recruiter_C,25-03-2024 00:00,27-03-2024 00:00,01-04-2024 00:00,21-04-2024 00:00,Offered,61790,California,Amazon
Mechanical Engineer,Deloitte,LinkedIn,Imtyaz,25-03-2024 00:00,30-03-2024 00:00,08-04-2024 00:00,24-04-2024 00:00,Rejected,113524,Texas,Deloitte
RTL Design Engineer,Accenture,LinkedIn,Recruiter_A,25-03-2024 00:00,04-04-2024 00:00,08-04-2024 00:00,26-04-2024 00:00,Joined,127939,Texas,Accenture
Technical Project Manager,Accenture,Indeed,Imtyaz,25-03-2024 00:00,04-04-2024 00:00,13-04-2024 00:00,29-04-2024 00:00,Joined,146160,California,Accenture
RTL Design Engineer,Microsoft,Referral,Recruiter_D,25-03-2024 00:00,04-04-2024 00:00,14-04-2024 00:00,02-05-2024 00:00,Joined,67459,Washington,Microsoft
Technical Project Manager,Microsoft,Referral,Recruiter_A,26-03-2024 00:00,28-03-2024 00:00,02-04-2024 00:00,10-04-2024 00:00,Offered,95362,Washington,Microsoft
Technical Project Manager,Deloitte,Naukri,Recruiter_A,26-03-2024 00:00,29-03-2024 00:00,02-04-2024 00:00,11-04-2024 00:00,Offered,69674,New York,Deloitte
Technical Project Manager,Deloitte,LinkedIn,Recruiter_C,26-03-2024 00:00,27-03-2024 00:00,04-04-2024 00:00,23-04-2024 00:00,Rejected,123992,Texas,Deloitte
RTL Design Engineer,Deloitte,Indeed,Imtyaz,26-03-2024 00:00,02-04-2024 00:00,07-04-2024 00:00,06-05-2024 00:00,Joined,63524,Washington,Deloitte
Technical Project Manager,Amazon,Career Site,Imtyaz,27-03-2024 00:00,29-03-2024 00:00,30-03-2024 00:00,16-04-2024 00:00,Offered,65685,Illinois,Amazon
Mechanical Engineer,Amazon,LinkedIn,Recruiter_A,27-03-2024 00:00,04-04-2024 00:00,08-04-2024 00:00,24-04-2024 00:00,Joined,87684,Texas,Amazon
RTL Design Engineer,Google,Indeed,Recruiter_C,27-03-2024 00:00,28-03-2024 00:00,06-04-2024 00:00,25-04-2024 00:00,Joined,112035,Washington,Google
Mechanical Engineer,Microsoft,Indeed,Recruiter_B,27-03-2024 00:00,06-04-2024 00:00,16-04-2024 00:00,02-05-2024 00:00,Interview,148256,Texas,Microsoft
RTL Design Engineer,Google  ,Indeed,Recruiter_D,27-03-2024 00:00,06-04-2024 00:00,15-04-2024 00:00,15-05-2024 00:00,Interview,112748,Texas,Google  
Technical Project Manager,Amazon,Naukri,Recruiter_B,28-03-2024 00:00,29-03-2024 00:00,01-04-2024 00:00,06-04-2024 00:00,Offered,112573,California,Amazon
ASIC Design Engineer,Microsoft,Referral,Recruiter_B,28-03-2024 00:00,05-04-2024 00:00,08-04-2024 00:00,19-04-2024 00:00,Offered,70948,New York,Microsoft
Mechanical Engineer,Accenture,Indeed,Recruiter_D,28-03-2024 00:00,30-03-2024 00:00,02-04-2024 00:00,24-04-2024 00:00,Interview,134977,Illinois,Accenture
RTL Design Engineer,Amazon,Referral,Imtyaz,28-03-2024 00:00,31-03-2024 00:00,05-04-2024 00:00,25-04-2024 00:00,Offered,131354,Texas,Amazon
RTL Design Engineer,Accenture,Naukri,Recruiter_C,28-03-2024 00:00,01-04-2024 00:00,03-04-2024 00:00,03-05-2024 00:00,Rejected,88963,Washington,Accenture
Technical Project Manager,Microsoft,Naukri,Recruiter_B,28-03-2024 00:00,02-04-2024 00:00,06-04-2024 00:00,04-05-2024 00:00,Rejected,96643,California,Microsoft
Technical Project Manager,Accenture,Referral,Recruiter_B,28-03-2024 00:00,03-04-2024 00:00,10-04-2024 00:00,06-05-2024 00:00,Offered,97265,Illinois,Accenture
ASIC Design Engineer,Google,Naukri,Imtyaz,29-03-2024 00:00,30-03-2024 00:00,03-04-2024 00:00,08-04-2024 00:00,Offered,144997,Washington,Google
Technical Project Manager,Deloitte,LinkedIn,Recruiter_D,29-03-2024 00:00,30-03-2024 00:00,09-04-2024 00:00,15-04-2024 00:00,Offered,147871,Texas,Deloitte
RTL Design Engineer,Amazon,Career Site,Recruiter_B,29-03-2024 00:00,08-04-2024 00:00,09-04-2024 00:00,20-04-2024 00:00,Offered,133171,New York,Amazon
ASIC Design Engineer,Deloitte,LinkedIn,Recruiter_A,29-03-2024 00:00,07-04-2024 00:00,11-04-2024 00:00,20-04-2024 00:00,Rejected,108780,Washington,Deloitte
Verification Engineer,Deloitte,Indeed,Recruiter_D,29-03-2024 00:00,08-04-2024 00:00,12-04-2024 00:00,30-04-2024 00:00,Interview,86859,Washington,Deloitte
Verification Engineer,Amazon,Career Site,Recruiter_C,29-03-2024 00:00,31-03-2024 00:00,01-04-2024 00:00,30-04-2024 00:00,Offered,144504,Texas,Amazon
Mechanical Engineer,Deloitte,Career Site,Recruiter_A,29-03-2024 00:00,05-04-2024 00:00,09-04-2024 00:00,01-05-2024 00:00,Rejected,89064,Texas,Deloitte
ASIC Design Engineer,Microsoft,Career Site,Imtyaz,29-03-2024 00:00,04-04-2024 00:00,07-04-2024 00:00,01-05-2024 00:00,Interview,99287,Washington,Microsoft
RTL Design Engineer,Accenture,Referral,Recruiter_A,29-03-2024 00:00,08-04-2024 00:00,09-04-2024 00:00,04-05-2024 00:00,Offered,116705,Texas,Accenture
ASIC Design Engineer,Google,Indeed,Recruiter_A,29-03-2024 00:00,01-04-2024 00:00,09-04-2024 00:00,06-05-2024 00:00,Rejected,122827,Illinois,Google
Technical Project Manager,Accenture,Indeed,Recruiter_D,29-03-2024 00:00,07-04-2024 00:00,13-04-2024 00:00,13-05-2024 00:00,Rejected,117472,Texas,Accenture
